ID,HFP,HFM,HFL,X,Y,Prof1,Prof2_or_0
P10A2-0.2,564.87,73.937,0,387716.5198,1996578.607,0,-0.2
P11A2-0.2,546.12,0,0,387720.4433,1996558.579,0,-0.2
P12A2-0.2,3841.69,207.71,0,387724.4836,1996539.638,0,-0.2
P13A2-0.2,541.65,0,0,387748.8612,1996552.99,0,-0.2
P14A2-0.2,2645.36,105.861,0,387742.9516,1996570.925,0,-0.2
P15A2-0.2,1654.97,15.082,0,387736.48,1996589.625,0,-0.2
P16A2-0.2,659.99,0,31.019,387693.0186,1996580.905,0,-0.2
P17A2-0.2,1269.94,0,0,387713.8546,1996592.967,0,-0.2
P18A2-0.2,487.98,0,0,387731.3801,1996604.64,0,-0.2
P19A2-0.2,1136.65,0,0,387754.7476,1996588.103,0,-0.2
P1A2-1.0,656.65,18.087,0,387652.096,1996499.367,-0.2,-1
P2A2-1.0,518.98,0,0,387651.0826,1996520.607,-0.2,-1
P3A2-1.0,3315.69,57.927,0,387650.616,1996543.283,-0.2,-1
P4A2-1.0,0,0,0,387672.6708,1996555.343,-0.2,-1
P5A2-1.0,548.98,0,0,387674.3659,1996533.579,-0.2,-1
P6A2-1.0,0,0,0,387675.9824,1996512.907,-0.2,-1
P7A2-1.0,1642.55,34.663,0,387700.3571,1996525.945,-0.2,-1
P8A2-1.0,4005.56,128.109,0,387696.9642,1996545.471,-0.2,-1
P9A2-1.0,654.05,14.814,0,387694.2797,1996567.044,-0.2,-1
P10A2-1.0,1054.41,28.594,0,387716.5198,1996578.607,-0.2,-1
P11A2-1.0,1015.65,18.157,11.185,387720.4433,1996558.579,-0.2,-1
P12A2-1.0,1320.65,64.112,0,387724.4836,1996539.638,-0.2,-1
P13A2-1.0,0,0,0,387748.8612,1996552.99,-0.2,-1
P14A2-1.0,805.99,17.449,0,387742.9516,1996570.925,-0.2,-1
P15A2-1.0,2015.47,37.456,12.592,387736.48,1996589.625,-0.2,-1
P16A2-1.0,455.26,0,0,387693.0186,1996580.905,-0.2,-1
P17A2-1.0,879.69,0,30.531,387713.8546,1996592.967,-0.2,-1
P18A2-1.0,1054.89,0,0,387731.3801,1996604.64,-0.2,-1
P19A2-1.0,478.99,0,0,387754.7476,1996588.103,-0.2,-1
P1A1-1.2,948.98,10.729,0,387652.096,1996499.367,-1,-1.2
P2A1-1.2,985.67,44.765,0,387651.0826,1996520.607,-1,-1.2
P3A1-1.2,2013.65,26.281,0,387650.616,1996543.283,-1,-1.2
P4A1-1.2,0,0,0,387672.6708,1996555.343,-1,-1.2
P5A1-1.2,1265.98,57.474,0,387674.3659,1996533.579,-1,-1.2
P6A1-1.2,0,0,0,387675.9824,1996512.907,-1,-1.2
P7A1-1.2,0,0,0,387700.3571,1996525.945,-1,-1.2
P8A1-1.2,1046.68,24.738,0,387696.9642,1996545.471,-1,-1.2
P9A1-1.2,1456.48,58.885,0,387694.2797,1996567.044,-1,-1.2
P10A1-1.2,0,0,0,387716.5198,1996578.607,-1,-1.2
P11A1-1.2,456.98,0,0,387720.4433,1996558.579,-1,-1.2
P12A1-1.2,656.98,0,0,387724.4836,1996539.638,-1,-1.2
P13A1-1.2,621.05,0,0,387748.8612,1996552.99,-1,-1.2
P14A1-1.2,0,0,0,387742.9516,1996570.925,-1,-1.2
P15A1-1.2,1055.36,11.754,0,387736.48,1996589.625,-1,-1.2
P16A1-1.2,698.77,0,9.305,387693.0186,1996580.905,-1,-1.2
P17A1-1.2,0,0,9.754,387713.8546,1996592.967,-1,-1.2
P18A1-1.2,956.12,0,0,387731.3801,1996604.64,-1,-1.2
P19A1-1.2,0,0,0,387754.7476,1996588.103,-1,-1.2
